extract_date,id,title,street_name,general_address,apartment_type,stock,total_area,used_area,rooms,bedrooms,bathrooms,cold_rent,total_rent,condition
yesterday,112011576,"Neubau, sehr ruhige Lage, perfekt für die kleine Familie!",WalterFranckZeile ,"12353 Berlin, Rudow (Neukölln)",Etagenwohnung,2 von 8,"90,27 m²",,4,,,"920,75 €","1.137,40 €",
yesterday,111866714,Große 2-Zimmer-Wohnung mit Dachterrasse,Bautzener Straße ,"10829 Berlin, Schöneberg (Schöneberg)",Etagenwohnung,6 von 7,"70,45 m²",,2,1,1,"1.055,01 €","1.301,59 €",Erstbezug
yesterday,111731937,2 Zimmer mit Süd-Balkon - Fußbodenhzg. - ab Sep. 2018,Bautzener Straße ,"10829 Berlin, Schöneberg (Schöneberg)",Etagenwohnung,4 von 7,"48,35 m²",,2,1,1,"667,67 €","836,90 €",Erstbezug
yesterday,111664655,1 Zimmer mit offener Wohnküche - Süd-Balkon- Fußbodenhzg.,Bautzener Straße ,"10829 Berlin, Schöneberg (Schöneberg)",Etagenwohnung,5 von 7,"39,6 m²",,1,,1,"588,90 €","727,50 €",Erstbezug
yesterday,109162831,"Schnellentschlossene sparen 200€!!!! Ruhig wohnen, mittendrin! vollmöbliert und modern - H2F",TinoSchwierzinaStraße ,"13089 Berlin-Pankow, Heinersdorf (Weißensee)",Etagenwohnung,,21 m²,,1,1,1,485 €,635 €,Erstbezug
yesterday,110250477,Erstbezug – 1A-Lage am Ku’damm – Exklusives Stadtdomizil – Stuck-Altbau –Sehr repräsentativ,,10719 Berlin - Kurfürstendamm,,3,"201,58 m²",,4,,,"3.326,07 €","3.830,02 €",Erstbezug nach Sanierung
yesterday,110016563,Designobjekt mit hellem Charakter und viel Luxus,Am Hamburger Bahnhof ,"10557 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,1 von 6,"83,93 m²",,3,2,2,"1.342,88 €","1.709,57 €",Erstbezug
yesterday,111508292,Neubauwohnung in Designobjekt mit Concierge-Service,Am Hamburger Bahnhof ,"10557 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,4 von 6,"92,83 m²",,3,2,1,"1.531,70 €","1.936,13 €",Erstbezug
yesterday,109062937,Schnellentschlossene sparen 200€!!!! ECHT COOL! für Studenten und Young Professionals - H2F,TinoSchwierzinaStraße ,"13089 Berlin-Pankow, Heinersdorf (Weißensee)",Etagenwohnung,,21 m²,,1,1,1,465 €,615 €,Erstbezug
yesterday,105351063,Penthouse-Wohnung am Potsdamer Platz mit einem außergewöhnlichen Ausblick!,GabrieleTergitPromenade ,"10963 Berlin, Tiergarten (Tiergarten)",Etagenwohnung,7 von 8,"177,11 m²",,4,3,2,3.070 €,"3.912,90 €",Neuwertig
yesterday,111661204,Penthouse-Wohnung mit Kamin und Klimaanlage,Marthastraße a,"13158 Berlin, Rosenthal (Pankow)",,,,,,,,,,
yesterday,112043912,"Besichtigung Samstag, 09.12. um 10:30 Uhr,1 Zimmer mit Garten und Terrasse + Einbauküche",Wünsdorfer Straße ,"12307 Berlin, Lichtenrade (Tempelhof)",Erdgeschosswohnung,,"54,53 m²","54,53 m²",1,1,1,489 €,"598,90 €",Modernisiert
yesterday,111530143,Lebensqualität auf ca. 111 m² in Wilhelmsruh - Helle Vier-Zimmer-Wohnung mit Balkon,Kopenhagener Straße ,"13158 Berlin, Rosenthal (Pankow)",Etagenwohnung,1,"110,98 m²",,4,1,1,"1.223,55 €","1.523,74 €",Erstbezug
yesterday,111529758,Helle und offene Drei-Zimmer-Wohnung (ca. 96 m²) - Wohnglück in Berlin Wilhelmsruh,Kopenhagener Straße ,"13158 Berlin, Rosenthal (Pankow)",Terrassenwohnung,0,"95,46 m²",,3,1,1,"932,17 €","1.187,54 €",Erstbezug
yesterday,111529032,Gemütliche Single-/Pärchenwohnung auf ca. 67 m² mit Süd-Balkon und Wannenbad,Kopenhagener Straße ,"13158 Berlin, Rosenthal (Pankow)",Etagenwohnung,5,"66,65 m²",,2,1,1,"699,83 €","880,77 €",Erstbezug
yesterday,107280397,Erstbezug nach Sanierung - großzügige 3 Zimmerwohnung mit Balkon im schönen Grünau,Regattastraße ,"12527 Berlin, Grünau (Köpenick)",Etagenwohnung,,"97,37 m²",,3,2,2,"863,30 €","1.136,75 €",Gepflegt
yesterday,111426831,Nur noch einziehen und wohlfühlen in 52 ° Grad Nord - Erstbezug,Teichmummelring ,"12527 Berlin, Grünau (Köpenick)",Dachgeschoss,,"67,93 m²",,2,1,1,"804,97 €",1.099 €,Erstbezug
yesterday,111290600,"Stilvolle, helle Gartenwohnung auch ideal für Freiberufler mit Familie",,12203 Berlin,Maisonette,1 von 2,"318,29 m²","26,71 m²",10,6,2,3.500 €,3.900 € (zzgl. Heizkosten),Neuwertig
yesterday,109044759,Edle Dachgeschoßwohnung in traumhafter Villa,Kronberger Strasse ,"14193 Berlin, Grunewald (Wilmersdorf)",Dachgeschoss,3 von 3,230 m²,,5,2,2,4.106 €,4.106 €,
yesterday,112174179,2 Zimmer Wohnung im Erdgeschoss in Dahlem! Bezugsfertig zum Ferbruar 2018!,Pritchardstraße ,"14169 Berlin, Dahlem (Zehlendorf)",Erdgeschosswohnung,,"51,1 m²",,2,1,1,511 €,649 €,Modernisiert
yesterday,112172250,"BESICHTIGUNG: Samstag den 16.12 um 11:00 Uhr! Möbliertes Apartment, Anmietung auf Zeit - ab Januar!",EberhardRotersPlatz ,"10965 Berlin, Kreuzberg (Kreuzberg)",Erdgeschosswohnung,,"59,2 m²",,1,,1,1.065 €,1.191 €,Gepflegt
yesterday,111787985,4-Zimmer-Wohnung in ruhiger Lage,Avenue Charles de Gaulle  B,"13469 Berlin, Wittenau (Reinickendorf)",Etagenwohnung,1 von 3,"130,6 m²",,4,,1,1.151 €,1.576 €,Gepflegt
yesterday,111787825,6-Raumwohnung,Avenue Charles de Gaulle ,"13469 Berlin, Wittenau (Reinickendorf)",Etagenwohnung,1 von 3,"165,3 m²",,6,,1,1.553 €,2.051 €,Gepflegt
yesterday,112176782,Moderne 2- Zimmerwohnung mit Terrasse zu vermieten!,Otawistraße ,"13351 Berlin, Wedding (Wedding)",Etagenwohnung,2,65 m²,,1,1,1,649 €,814 €,Modernisiert
yesterday,111865714,"Exklusive Altbau-Whg nahe Schloßpark Pankow! *Besichtigung: Sa., 09.12. um 12:00 Uhr*",Mendelstraße ,"13187 Berlin, Pankow (Pankow)",Etagenwohnung,1 von 5,107 m²,,3,2,1,1.050 €,1.373 €,Vollständig renoviert
yesterday,56214171,"Erstbezug nach Sanierung, ruhige grüne Wohnlage , 2 Zi.-Appartement im Komponistenviertel",Bizetstr. ,"13088 Berlin- Weißensee, Weißensee (Weißensee)",Erdgeschosswohnung,0 von 5,55 m²,,2,,,"577,50 €","707,30 €",Vollständig renoviert
yesterday,111521593,Helle 3 Zimmer-Wohnung in Baumschulenweg- Citynähe!,Mörikestraße ,"12437 Berlin, Baumschulenweg (Treptow)",Dachgeschoss,,"79,75 m²",,3,,,849 €,1.083 €,Gepflegt
yesterday,110751893,3-zi-DG-whg in der goltzstrasse mit EBK terrasse u. aufzug,,10781 Berlin,Dachgeschoss,5 von 5,"103,9 m²",,3,2,1,1.900 €,2.190 €,Erstbezug
yesterday,110751897,goltzstr. nähe winterfeldtmarkt 4 zi-dg-whg aufzug terrasse EBK erstbezug,,10781 Berlin,Dachgeschoss,5 von 5,"132,96 m²",,4,3,2,2.500 €,2.870 €,Erstbezug
yesterday,111117137,schöne 3 zi-whg mit terrasse balkon EBK aufzug u. TG,,10117 Berlin,Etagenwohnung,5 von 6,"135,68 m²",,3,2,1,2.100 €,"2.574,88 €",Neuwertig
yesterday,111994046,Tolle 2-Zimmerwohnung mit Wintergarten in Neukölln!,Dieselstr. ,"12057 Berlin, Neukölln (Neukölln)",Etagenwohnung,1,59 m²,,2,1,1,439 €,719 €,Erstbezug nach Sanierung
yesterday,111992238,Große 3-Zimmerwohnung mit Balkon in Berlin-Neukölln!,Dieselstr. ,"12057 Berlin, Neukölln (Neukölln)",Etagenwohnung,4,75 m²,,3,2,1,699 €,929 €,Erstbezug nach Sanierung
yesterday,112175524,"Frisch modernisierte 3,5- Zimmerwohnung nahe der Hallen am Borsigturm zu vermieten!",Veitstraße a,"13507 Berlin, Tegel (Reinickendorf)",Etagenwohnung,0,108 m²,,"3,5",2,1,969 €,1.129 €,Modernisiert
yesterday,112023133,Moderne Dachgeschosswohnung im klassischen Altbau am Görlitzer Park! Top saniert!,Wiener Straße/Liegnitzer /,"10999 Berlin, Kreuzberg (Kreuzberg)",Dachgeschoss,5 von 5,89 m²,88 m²,2,1,1,1.174 €,1.374 €,Modernisiert
yesterday,112022943,"Citylage! WG Wohnung! EBK, Balkon, Parklage",Puderstr. ,"12435 Berlin, Plänterwald (Treptow)",,,,,,,,,,
yesterday,97595598,Gesundbrunnen Humboldthain! Helle und gemütliche 2 Zimmerwohnung - ca 56 m² mit Balkon!,Hochstraße ,"13357 Berlin, Wedding (Wedding)",Etagenwohnung,4,"56,11 m²",,2,,,642 €,799 €,Modernisiert
yesterday,111845357,+WERD BOXIANER DIREKT IM HERZEN DER YOUNGSTERS+,GabrielMaxStr. ,"10245 Berlin, Friedrichshain (Friedrichshain)",Etagenwohnung,3 von 4,"61,76 m²",,2,2,1,"741,12 €","826,12 € (zzgl. Heizkosten)",Vollständig renoviert
yesterday,111335112,Idyllische Terrassenwohnung mit Laminat und EBK in Heiligensee,Ruppiner Chaussee ,"13503 Berlin, Heiligensee (Reinickendorf)",,0,"54,72 m²",,2,,,599 €,799 €,Modernisiert
yesterday,111689186,Moderne 2-Zimmer-Wohnung mit zwei Balkonen,Gürtelstrasse ,"10247 Berlin, Friedrichshain (Friedrichshain)",Etagenwohnung,2 von 6,"67,42 m²",,2,1,1,899 €,"1.067,55 €",Erstbezug
